 ******* Program SOILCO2
 *******  Zalf Lysimeter Dedelow Dd_2_6 with Nitrogen                            
 Units: L = cm  , T = day , M = kg  

 CosAlf,MaxIt,TolTh,TolH
 1.000   20 0.00100   0.010

 TopInF,BotInF,AtmBC,SinkF,WLayer,qGWLF,FreeD,SeepF,lWat,lCO2,lRoot,lTemp,InitWC
     T     T     T     T     T     F     F     F     T     T     F     T     T
 using plants

Nodal point information

node      x         hOld    MatN LayN  Beta      CO2       Temp     Conc...
  41     41.000      0.280    8    1   0.000  0.4730E-01  12.180
  40     40.000      0.279    8    1   0.000  0.4756E-01  12.128
  39     39.000      0.278    8    1   0.000  0.4783E-01  12.077
  38     38.000      0.277    8    1   0.000  0.4809E-01  12.025
  37     37.000      0.276    8    1   0.000  0.4836E-01  11.974
  36     36.000      0.275    8    1   0.000  0.4862E-01  11.922
  35     35.000      0.274    8    1   0.000  0.4889E-01  11.871
  34     34.000      0.273    8    1   0.000  0.4915E-01  11.819
  33     33.000      0.272    8    1   0.000  0.4942E-01  11.768
  32     32.000      0.271    8    1   0.000  0.4968E-01  11.716
  31     31.000      0.270    8    1   0.000  0.4995E-01  11.665
  30     30.000      0.269    8    1   0.000  0.5021E-01  11.614
  29     29.000      0.268    8    1   0.000  0.5047E-01  11.562
  28     28.000      0.267    8    1   0.000  0.5074E-01  11.511
  27     27.000      0.266    8    1   0.000  0.5100E-01  11.459
  26     26.000      0.265    8    1   0.000  0.5127E-01  11.408
  25     25.000      0.264    8    1   0.000  0.5153E-01  11.356
  24     24.000      0.263    8    1   0.000  0.5180E-01  11.305
  23     23.000      0.262    8    1   0.000  0.5206E-01  11.253
  22     22.000      0.261    8    1   0.000  0.5233E-01  11.202
  21     21.000      0.260    9    1   0.000  0.5259E-01  11.150
  20     20.000      0.260    9    1   0.000  0.5285E-01  11.098
  19     19.000      0.260    9    1   0.000  0.5312E-01  11.047
  18     18.000      0.260    9    1   0.000  0.5338E-01  10.995
  17     17.000      0.260    9    1   0.000  0.5365E-01  10.944
  16     16.000      0.260    9    1   0.000  0.5391E-01  10.893
  15     15.000      0.260    9    1   0.000  0.5418E-01  10.841
  14     14.000      0.260    9    1   0.000  0.5445E-01  10.790
  13     13.000      0.260    9    1   0.000  0.5471E-01  10.738
  12     12.000      0.260    9    1   0.000  0.5497E-01  10.687
  11     11.000      0.260    9    1   0.000  0.5524E-01  10.635
  10     10.000      0.260    9    1   0.000  0.5550E-01  10.583
   9      9.000      0.260    9    1   0.000  0.5577E-01  10.532
   8      8.000      0.260    9    1   0.000  0.5603E-01  10.480
   7      7.000      0.260    9    1   0.000  0.5630E-01  10.429
   6      6.000      0.260    9    1   0.000  0.5656E-01  10.377
   5      5.000      0.260    9    1   0.000  0.5683E-01  10.326
   4      4.000      0.260    9    1   0.000  0.5709E-01  10.274
   3      3.000      0.260    9    1   0.000  0.5736E-01  10.223
   2      2.000      0.260    9    1   0.000  0.5762E-01  10.171
   1      1.000      0.260    9    1   0.000  0.5789E-01  10.120
end
 MatNum, Param. array:

  Mat          Qr          Qs          Qa          Qm        Alfa           n          Ks          Kk          Qk        BPar          w2       alfa2          n2
    1   0.000E+00   4.343E-01   0.000E+00   4.343E-01   3.073E-02   1.271E+00   4.785E+02   4.785E+02   4.343E-01   5.000E-01
    2   0.000E+00   4.343E-01   0.000E+00   4.343E-01   3.073E-02   1.271E+00   4.785E+02   4.785E+02   4.343E-01   5.000E-01
    3   0.000E+00   4.343E-01   0.000E+00   4.343E-01   3.073E-02   1.271E+00   4.785E+02   4.785E+02   4.343E-01   5.000E-01
    4   0.000E+00   3.524E-01   0.000E+00   3.524E-01   1.359E-02   1.477E+00   7.447E+02   7.447E+02   3.524E-01   5.000E-01
    5   0.000E+00   3.600E-01   0.000E+00   3.600E-01   2.979E-02   1.121E+00   6.208E+02   6.208E+02   3.600E-01   5.000E-01
    6   0.000E+00   3.600E-01   0.000E+00   3.600E-01   2.979E-02   1.121E+00   6.208E+02   6.208E+02   3.600E-01   5.000E-01
    7   0.000E+00   3.600E-01   0.000E+00   3.600E-01   2.979E-02   1.121E+00   6.208E+02   6.208E+02   3.600E-01   5.000E-01
    8   0.000E+00   4.310E-01   0.000E+00   4.310E-01   3.431E-02   1.599E+00   3.240E+02   3.240E+02   4.310E-01   5.000E-01
    9   0.000E+00   3.967E-01   0.000E+00   3.967E-01   2.906E-02   1.505E+00   5.000E+00   5.000E+00   3.967E-01   5.000E-01

MatNum              Qe               Q               h               C               K

     1  9.99999608E-01  4.34344830E-01 -1.00000000E-03  2.16475057E-04  4.23663929E+02
     1  9.99999529E-01  4.34344796E-01 -1.15447560E-03  2.25069067E-04  4.21525522E+02
     1  9.99999435E-01  4.34344755E-01 -1.33281392E-03  2.34004236E-04  4.19307956E+02
     1  9.99999322E-01  4.34344705E-01 -1.53870116E-03  2.43294102E-04  4.17008551E+02
     1  9.99999186E-01  4.34344646E-01 -1.77639295E-03  2.52952740E-04  4.14624562E+02
     1  9.99999023E-01  4.34344576E-01 -2.05080232E-03  2.62994779E-04  4.12153171E+02
     1  9.99998827E-01  4.34344491E-01 -2.36760125E-03  2.73435428E-04  4.09591496E+02
     1  9.99998592E-01  4.34344389E-01 -2.73333789E-03  2.84290499E-04  4.06936587E+02
     1  9.99998310E-01  4.34344266E-01 -3.15557191E-03  2.95576424E-04  4.04185427E+02
     1  9.99997972E-01  4.34344119E-01 -3.64303079E-03  3.07310285E-04  4.01334937E+02
     1  9.99997566E-01  4.34343943E-01 -4.20579017E-03  3.19509837E-04  3.98381972E+02
     1  9.99997078E-01  4.34343731E-01 -4.85548215E-03  3.32193530E-04  3.95323332E+02
     1  9.99996493E-01  4.34343477E-01 -5.60553569E-03  3.45380541E-04  3.92155756E+02
     1  9.99995791E-01  4.34343172E-01 -6.47145421E-03  3.59090794E-04  3.88875932E+02
     1  9.99994947E-01  4.34342805E-01 -7.47113601E-03  3.73344991E-04  3.85480496E+02
     1  9.99993935E-01  4.34342366E-01 -8.62524426E-03  3.88164640E-04  3.81966042E+02
     1  9.99992721E-01  4.34341838E-01 -9.95763408E-03  4.03572077E-04  3.78329122E+02
